Date,Client,Model ,VIN ,ALL IN ,PAID,,DEBT,PAID,,,
02/03/2026,,,,,,,,,,B4 ,Локація 
customs cost  - ,"$12,840",2023,114,"-$14,867",$0,,"-$12,135",,,B5 ,Ставка 
IAAI,ACE - Carson (CA),CA,Constanta,SUV,EV,,Shipper ,,,С3 ,Рік по Шильдіку 
Ставка,"$10,100",,,,,,"$10,100",$0,,D3 ,"Об'єм Двигуна, якщо не рівний то тільки через ""."" наприклад 1.2 чи 3.5 "
Збір Аукціону ,"1,140$",,,,,,"$1,140",$0,,С4,"Обираємо відповідно від локаціі, може бути коли підходять 2 порти, якщо порт не підходить буде помилка"
Swift Аукціон ,$381,,,,,,$381,$0,,D4,"Стандартно Констанца, але залежить від ситуаціі "
Транспорт,$345,,,,,,$20,$0,,E4,"якщо SUV ставимо, якщо седан то ставимо ""------"""
,,,,,,,$275,$0,,F4,"GAS(бензин), Diesel(Дизель), HYB(Гібрид), EV(Електро) /// 2 - це 2 місця (пів контейнера) , 3 це завантаження в 3 машини в контейнері"
,,,,,,,,$0,,E4,Сума ALL IN по витратам по машині 
,,,,,,,$0,$0,,F3 ,Скільки оплачено 
,,,,,,,$50,$0,,H3 ,Сума ALL IN по витратам по машині без митних платежів 
Страхування,$169,,,,,,$169,$0,,I ,можно проставити по позиціям 
Storage ,$0,,,,,,$0,$0,,,
Митні Платежі ,"$2,732",,,,,,,$0,,,
Інше ,$0,,,,,,$0,$0,,,
