Loaction,NJ,GA,TX,CA,WA
ABILENE,Error,Error,460,Error,Error
Abilene (TX),Error,Error,460,Error,Error
ACE - Carson (CA),Error,Error,1150,275,Error
ACE - Perris (CA),Error,Error,1200,300,Error
ADELANTO,Error,Error,Error,350,Error
Akron-Canton (OH),575,Error,Error,Error,Error
ALBANY,375,Error,Error,Error,Error
Albany (NY),375,Error,Error,Error,Error
ALBUQUERQUE ,Error,Error,675,Error,Error
Albuquerque (NM),Error,Error,675,Error,Error
ALTOONA ,500,Error,Error,Error,Error
Altoona (PA),500,Error,Error,Error,Error
AMARILLO ,Error,Error,525,Error,Error
Amarillo (TX),Error,Error,525,Error,Error
Anaheim (CA),Error,Error,1150,250,Error
ANDREWS,Error,Error,525,Error,Error
ANTELOPE ,Error,Error,1275,500,Error
APPLETON,825,Error,Error,Error,Error
Appleton (WI),825,Error,Error,Error,Error
Asheville (NC),Error,450,Error,Error,Error
Ashland,775,600,Error,Error,Error
Atlanta (GA),Error,400,Error,Error,Error
ATLANTA EAST ,Error,400,Error,Error,Error
Atlanta East (GA),Error,400,Error,Error,Error
ATLANTA NORTH,Error,425,Error,Error,Error
Atlanta North (GA),Error,400,Error,Error,Error
ATLANTA SOUTH ,Error,450,Error,Error,Error
Atlanta South (GA),Error,400,Error,Error,Error
ATLANTA WEST ,Error,400,Error,Error,Error
AUGUSTA,Error,350,Error,Error,Error
AUSTIN ,Error,Error,350,Error,Error
Austin (TX),Error,Error,350,Error,Error
Avenel New Jersey (NJ),250,Error,Error,Error,Error
BAKERSFIELD,Error,Error,Error,525,Error
BALTIMORE,400,Error,Error,Error,Error
Baltimore (MD),400,Error,Error,Error,Error
BALTIMORE EAST ,400,Error,Error,Error,Error
BATON ROUGE ,Error,Error,450,Error,Error
Baton Rouge (LA),Error,Error,450,Error,Error
BILLINGS ,Error,Error,Error,Error,800
Billings (MT),Error,Error,Error,Error,800
BIRMINGHAM ,Error,500,Error,Error,Error
Birmingham (AL),Error,475,Error,Error,Error
BOISE ,Error,Error,Error,850,Error
Boise (ID),Error,Error,Error,850,Error
Boston - Shirley (MA),450,Error,Error,Error,Error
Bowling Green (KY),700,700,Error,Error,Error
Bridgeport (PA),325,Error,Error,Error,Error
Buckhannon (WV),600,Error,Error,Error,Error
BUFFALO ,550,Error,Error,Error,Error
Buffalo (NY),550,Error,Error,Error,Error
Burlington (VT),550,Error,Error,Error,Error
CANDIA,475,Error,Error,Error,Error
CARTERET,300,Error,Error,Error,Error
CARTERSVILLE,Error,425,Error,Error,Error
CASPER ,Error,Error,Error,1050,Error
Casper (WY),Error,Error,Error,1050,Error
Central New Jersey (NJ),285,Error,Error,Error,Error
CHAMBERSBURG ,400,Error,Error,Error,Error
CHARLESTON ,600,Error,Error,Error,Error
Charleston (SC),Error,275,Error,Error,Error
Charlotte (NC),Error,400,Error,Error,Error
Chatham,460,Error,Error,Error,Error
Chattanooga (TN),Error,500,Error,Error,Error
CHICAGO NORTH ,650,Error,Error,Error,Error
CHICAGO SOUTH ,675,Error,Error,Error,Error
Chicago-North (IL),725,Error,Error,Error,Error
Chicago-South (IL),700,Error,Error,Error,Error
Chicago-West (IL),650,Error,Error,Error,Error
CHINA GROVE,Error,400,Error,Error,Error
CICERO,700,Error,Error,Error,Error
Cincinnati (OH),575,Error,Error,Error,Error
Cleveland (OH),550,Error,Error,Error,Error
CLEVELAND EAST ,550,Error,Error,Error,Error
CLEWISTON,Error,525,Error,Error,Error
COLORADO SPRINGS ,Error,Error,700,Error,Error
Columbia,Error,300,Error,Error,Error
COLUMBIA ,700,Error,Error,Error,Error
COLUMBIA ,Error,300,Error,Error,Error
COLUMBIA STATION,550,Error,Error,Error,Error
COLUMBUS,575,Error,Error,Error,Error
COLUMBUS ,550,Error,Error,Error,Error
Columbus (OH),575,Error,Error,Error,Error
CONCORD ,Error,400,Error,Error,Error
Concord (NC),Error,400,Error,Error,Error
COPART JOBSTOWN SUBLOT,375,Error,Error,Error,Error
copart SUBLOT ,350,Error,Error,Error,Error
Corpus Christi (TX),Error,Error,350,Error,Error
CRASHEDTOYS DALLAS ,Error,Error,350,Error,Error
CRASHEDTOYS MINNEAPOLIS,800,Error,Error,Error,Error
CROWLEY,Error,Error,375,Error,Error
Culpeper (VA),400,Error,Error,Error,Error
Dallas,Error,Error,350,Error,Error
DALLAS ,Error,Error,350,Error,Error
Dallas (TX),Error,Error,350,Error,Error
DALLAS SOUTH ,Error,Error,350,Error,Error
Dallas/Ft Worth (TX),Error,Error,350,Error,Error
DAVENPORT ,750,Error,Error,Error,Error
Davenport (IA),750,Error,Error,Error,Error
DAYTON ,550,Error,Error,Error,Error
Dayton (OH),550,Error,Error,Error,Error
DEFUNIAK SPRINGS,Error,450,Error,Error,Error
Denver,Error,Error,700,Error,Error
DENVER ,Error,Error,700,Error,Error
DENVER CENTRAL ,Error,Error,700,Error,Error
Denver East (CO),Error,Error,700,Error,Error
DENVER SOUTH ,Error,Error,700,Error,Error
